Vivado Simulator 2018.3
Time resolution is 1 ps
address = 0000, data = 00, read_en = 0, ce = 0
address = 0000, data = ab, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0001, data = cd, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0002, data = ef, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0003, data = 01, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0004, data = ef, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0005, data = 22, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0006, data = 1e, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0007, data = 00, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0008, data = 9f, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 0009, data = ff, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000a, data = 13, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000b, data = e6, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000c, data = ce, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000d, data = b7, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000e, data = 28, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
address = 000f, data = 8f, read_en = 1, ce = 1
address = 0000, data = 00, read_en = 0, ce = 0
