Vivado Simulator 2018.3
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module myRom_tb.U.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
address = 0000, data = 00, clk = 0
address = 0000, data = 00, clk = 1
address = 000a, data = 00, clk = 1
address = 000a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0014, data = 00, clk = 0
address = 0014, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 001e, data = 00, clk = 1
address = 001e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0028, data = 00, clk = 0
address = 0028, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0032, data = 00, clk = 1
address = 0032, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 003c, data = 00, clk = 0
address = 003c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0046, data = 00, clk = 1
address = 0046, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0050, data = 00, clk = 0
address = 0050, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 005a, data = 00, clk = 1
address = 005a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0064, data = 00, clk = 0
address = 0064, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 006e, data = 00, clk = 1
address = 006e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0078, data = 00, clk = 0
address = 0078, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0082, data = 00, clk = 1
address = 0082, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 008c, data = 00, clk = 0
address = 008c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0096, data = 00, clk = 1
address = 0096, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 00a0, data = 00, clk = 0
address = 00a0, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 00aa, data = 00, clk = 1
address = 00aa, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 00b4, data = 00, clk = 0
address = 00b4, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 00be, data = 00, clk = 1
address = 00be, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 00c8, data = 00, clk = 0
address = 00c8, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 00d2, data = 00, clk = 1
address = 00d2, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 00dc, data = 00, clk = 0
address = 00dc, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 00e6, data = 00, clk = 1
address = 00e6, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 00f0, data = 00, clk = 0
address = 00f0, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 00fa, data = 00, clk = 1
address = 00fa, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0104, data = 00, clk = 0
address = 0104, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 010e, data = 00, clk = 1
address = 010e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0118, data = 00, clk = 0
address = 0118, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0122, data = 00, clk = 1
address = 0122, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 012c, data = 00, clk = 0
address = 012c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0136, data = 00, clk = 1
address = 0136, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0140, data = 00, clk = 0
address = 0140, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 014a, data = 00, clk = 1
address = 014a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0154, data = 00, clk = 0
address = 0154, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 015e, data = 00, clk = 1
address = 015e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0168, data = 00, clk = 0
address = 0168, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0172, data = 00, clk = 1
address = 0172, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 017c, data = 00, clk = 0
address = 017c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0186, data = 00, clk = 1
address = 0186, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0190, data = 00, clk = 0
address = 0190, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 019a, data = 00, clk = 1
address = 019a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 01a4, data = 00, clk = 0
address = 01a4, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 01ae, data = 00, clk = 1
address = 01ae, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 01b8, data = 00, clk = 0
address = 01b8, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 01c2, data = 00, clk = 1
address = 01c2, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 01cc, data = 00, clk = 0
address = 01cc, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 01d6, data = 00, clk = 1
address = 01d6, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 01e0, data = 00, clk = 0
address = 01e0, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 01ea, data = 00, clk = 1
address = 01ea, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 01f4, data = 00, clk = 0
